book_id,title,author,description,genres,avg_rating,num_ratings,tags,combined_text
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,<no description>,Young Adult,4.34,4780653,Romance Thriller Science Fiction Young Adult Fantasy,"the hunger games (the hunger games, #1) suzanne collins young adult romance thriller science fiction young adult fantasy <no description>"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.44,4602479,Children Classics Fantasy Young Adult Mystery,"harry potter and the sorcerer's stone (harry potter, #1) j.k. rowling, mary grandpré fantasy children classics fantasy young adult mystery <no description>"
3,"Twilight (Twilight, #1)",Stephenie Meyer,<no description>,Young Adult,3.57,3866839,Young Adult Fantasy Science Fiction Horror,"twilight (twilight, #1) stephenie meyer young adult young adult fantasy science fiction horror <no description>"
4,To Kill a Mockingbird,Harper Lee,<no description>,Classics,4.25,3198671,Historical Classics Young Adult Crime History Mystery,to kill a mockingbird harper lee classics historical classics young adult crime history mystery <no description>
5,The Great Gatsby,F. Scott Fitzgerald,<no description>,Classics,3.89,2683664,Classics Romance Young Adult Historical,the great gatsby f. scott fitzgerald classics classics romance young adult historical <no description>
6,The Fault in Our Stars,John Green,<no description>,Young Adult,4.26,2346404,Romance Young Adult,the fault in our stars john green young adult romance young adult <no description>
7,The Hobbit,J.R.R. Tolkien,<no description>,Fantasy,4.25,2071616,Science Fiction Children Classics Fantasy Young Adult,the hobbit j.r.r. tolkien fantasy science fiction children classics fantasy young adult <no description>
8,The Catcher in the Rye,J.D. Salinger,<no description>,Classics,3.79,2044241,Classics Young Adult Historical,the catcher in the rye j.d. salinger classics classics young adult historical <no description>
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,<no description>,Mystery,3.85,2001311,Thriller Romance Science Fiction Historical Classics Fantasy Crime History Mystery,"angels & demons  (robert langdon, #1) dan brown mystery thriller romance science fiction historical classics fantasy crime history mystery <no description>"
10,Pride and Prejudice,Jane Austen,<no description>,Classics,4.24,2035490,Romance Historical Classics Young Adult History,pride and prejudice jane austen classics romance historical classics young adult history <no description>
11,The Kite Runner,Khaled Hosseini,<no description>,Historical,4.26,1813044,Historical Classics Young Adult History Non-Fiction,the kite runner khaled hosseini historical historical classics young adult history non-fiction <no description>
12,"Divergent (Divergent, #1)",Veronica Roth,<no description>,Young Adult,4.24,1903563,Romance Thriller Science Fiction Young Adult Fantasy,"divergent (divergent, #1) veronica roth young adult romance thriller science fiction young adult fantasy <no description>"
13,1984,"George Orwell, Erich Fromm, Celâl Üster",<no description>,Science Fiction,4.14,1956832,Science Fiction Fantasy Young Adult Philosophy Horror,"1984 george orwell, erich fromm, celâl üster science fiction science fiction fantasy young adult philosophy horror <no description>"
14,Animal Farm,George Orwell,<no description>,Classics,3.87,1881700,Science Fiction Historical Classics Fantasy Young Adult Philosophy History,animal farm george orwell classics science fiction historical classics fantasy young adult philosophy history <no description>
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",<no description>,Non-Fiction,4.1,1972666,Historical Children Classics Young Adult History Non-Fiction Biography,"the diary of a young girl anne frank, eleanor roosevelt, b.m. mooyaart-doubleday non-fiction historical children classics young adult history non-fiction biography <no description>"
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",<no description>,Mystery,4.11,1808403,Thriller Mystery Crime,"the girl with the dragon tattoo (millennium, #1) stieg larsson, reg keeland mystery thriller mystery crime <no description>"
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,<no description>,Young Adult,4.3,1831039,Romance Thriller Science Fiction Young Adult Fantasy,"catching fire (the hunger games, #2) suzanne collins young adult romance thriller science fiction young adult fantasy <no description>"
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",<no description>,Fantasy,4.53,1832823,Children Classics Fantasy Young Adult Mystery,"harry potter and the prisoner of azkaban (harry potter, #3) j.k. rowling, mary grandpré, rufus beck fantasy children classics fantasy young adult mystery <no description>"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,<no description>,Fantasy,4.34,1766803,Classics Fantasy Science Fiction Young Adult,"the fellowship of the ring (the lord of the rings, #1) j.r.r. tolkien fantasy classics fantasy science fiction young adult <no description>"
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,<no description>,Young Adult,4.03,1719760,Romance Thriller Science Fiction Young Adult Fantasy,"mockingjay (the hunger games, #3) suzanne collins young adult romance thriller science fiction young adult fantasy <no description>"
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.46,1735368,Romance Science Fiction Children Fantasy Young Adult Mystery,"harry potter and the order of the phoenix (harry potter, #5) j.k. rowling, mary grandpré fantasy romance science fiction children fantasy young adult mystery <no description>"
22,The Lovely Bones,Alice Sebold,<no description>,Mystery,3.77,1605173,Thriller Romance Classics Fantasy Young Adult Horror Crime Mystery,the lovely bones alice sebold mystery thriller romance classics fantasy young adult horror crime mystery <no description>
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.37,1779331,Children Classics Fantasy Young Adult Mystery,"harry potter and the chamber of secrets (harry potter, #2) j.k. rowling, mary grandpré fantasy children classics fantasy young adult mystery <no description>"
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.53,1753043,Children Classics Fantasy Young Adult Mystery,"harry potter and the goblet of fire (harry potter, #4) j.k. rowling, mary grandpré fantasy children classics fantasy young adult mystery <no description>"
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.61,1746574,Romance Children Classics Fantasy Young Adult Mystery,"harry potter and the deathly hallows (harry potter, #7) j.k. rowling, mary grandpré fantasy romance children classics fantasy young adult mystery <no description>"
