book_id,title,author,description,genres,avg_rating,num_ratings,tags,combined_text
9255,Little Lord Fauntleroy,Frances Hodgson Burnett,<no description>,Classics,3.81,12712,Historical Children Classics Young Adult History,little lord fauntleroy frances hodgson burnett classics historical children classics young adult history <no description>
1562,Confess,Colleen Hoover,<no description>,Romance,4.25,72611,Romance Young Adult,confess colleen hoover romance romance young adult <no description>
1671,Carry On,Rainbow Rowell,<no description>,Romance,4.19,46197,Romance Fantasy Mystery Young Adult,carry on rainbow rowell romance romance fantasy mystery young adult <no description>
6088,Mrs. Lincoln's Dressmaker,Jennifer Chiaverini,<no description>,Historical,3.41,16366,History Non-Fiction Historical Biography,mrs. lincoln's dressmaker jennifer chiaverini historical history non-fiction historical biography <no description>
6670,When Rabbit Howls,"Truddi Chase, Robert A. Phillips Jr.",<no description>,Non-Fiction,4.03,13975,Psychology Classics Crime Horror Non-Fiction Biography,"when rabbit howls truddi chase, robert a. phillips jr. non-fiction psychology classics crime horror non-fiction biography <no description>"
5934,"H is for Homicide (Kinsey Millhone, #8)",Sue Grafton,<no description>,Mystery,3.89,21635,Thriller Mystery Crime,"h is for homicide (kinsey millhone, #8) sue grafton mystery thriller mystery crime <no description>"
8830,A Cry In The Night,Mary Higgins Clark,<no description>,Mystery,3.84,12157,Thriller Romance Horror Crime Mystery,a cry in the night mary higgins clark mystery thriller romance horror crime mystery <no description>
7946,The Beauty Myth,Naomi Wolf,<no description>,Psychology,3.89,13037,Psychology Classics Philosophy Self Help Non-Fiction,the beauty myth naomi wolf psychology psychology classics philosophy self help non-fiction <no description>
3509,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear","Don    Wood, Audrey Wood",<no description>,Children,4.31,30926,Classics Fantasy Children,"the little mouse, the red ripe strawberry, and the big hungry bear don    wood, audrey wood children classics fantasy children <no description>"
2003,Circling the Sun,Paula McLain,<no description>,Historical,3.93,37839,Romance Historical Travel History Non-Fiction Biography,circling the sun paula mclain historical romance historical travel history non-fiction biography <no description>
